Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,NCG54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.07942,12.1,172.31,3.5
Low Fat,FDK33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.011181,17.85,213.46,3.5
Low Fat,DRG01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.044661,14.8,74.77,3.5
Low Fat,DRH01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.09743,17.5,172.87,3.5
Regular,FDW60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.016979,5.44,177.04,3.5
Regular,FDZ50,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.076701,12.8,184.26,3.5
Regular,FDA52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.1278,16.2,177.04,3.5
Regular,FDG10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.010886,6.63,57.26,3.5
Low Fat,FDN15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01676,17.5,141.62,3.4
Low Fat,FDP33,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.070866,18.7,256.67,3.4
Low Fat,NCW29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028908,14.0,130.43,3.4
Low Fat,FDX25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.071779,16.7,181.23,3.4
Low Fat,FDQ56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.105761,6.59,84.89,3.4
Regular,FDM24,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.074331,6.135,151.34,3.4
Low Fat,FDB44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.016945,6.655,209.26,3.4
Regular,FDZ23,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.112986,17.75,185.42,3.4
Low Fat,DRJ39,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.036319,20.25,219.35,3.4
Low Fat,FDT38,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057627,18.7,83.36,3.4
Low Fat,DRD27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.023877,18.75,97.4,3.4
Low Fat,FDX44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.043033,9.3,89.42,3.4
Low Fat,FDX19,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.096884,19.1,233.6,3.4
Low Fat,NCO42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024694,21.25,144.11,3.4
Low Fat,FDF59,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.071355,12.5,125.7,3.4
Regular,FDE04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.018051,19.75,179.87,3.4
Regular,DRZ11,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11284,8.85,122.04,3.4
Low Fat,DRL59,Hard Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.037161,16.75,54.23,3.4
Low Fat,FDO57,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.190337,20.75,159.46,3.4
Regular,FDU45,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.062167,15.6,112.35,3.4
Low Fat,FDJ48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.056435,11.3,247.81,3.4
Low Fat,NCK29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.058958,5.615,121.97,3.4
Low Fat,FDV39,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00728,11.3,199.34,3.4
Low Fat,FDV55,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.055073,17.75,145.14,3.4
Regular,FDA35,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.053838,14.85,120.81,3.4
Regular,FDZ57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037764,10.0,127.3,3.4
Regular,FDO49,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.033052,10.6,49.7,3.4
Low Fat,DRL47,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038815,19.7,124.24,3.4
Low Fat,NCM26,Others,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.023274,20.5,154.13,3.4
Low Fat,FDS13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124759,6.465,264.19,3.4
Low Fat,FDF52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.066919,9.3,184.23,3.4
Low Fat,FDC20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02402,10.65,57.23,3.4
Low Fat,DRI11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.034474,8.26,117.08,3.4
Low Fat,DRO35,Hard Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03464,13.85,116.15,3.4
Low Fat,NCA42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.064963,6.965,159.66,3.4
Low Fat,FDL27,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.010653,6.17,65.68,3.4
Low Fat,FDT03,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.010019,21.25,184.66,3.4
Low Fat,FDY21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.173833,15.1,196.51,3.4
Low Fat,FDB15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.137585,10.895,262.26,3.4
Low Fat,DRH01,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.098458,17.5,171.77,3.4
Regular,FDN23,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,0.075661,6.575,145.44,3.4
Regular,FDN38,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.092158,6.615,251.14,3.4
Regular,FDA01,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.054489,15.0,57.59,3.4
Regular,FDB14,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.102932,20.25,93.21,3.4
Regular,FDS33,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.123679,6.67,88.95,3.4
Regular,FDU57,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.089736,8.27,148.77,3.4
Regular,FDJ38,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.040433,8.6,191.65,3.4
Regular,FDH14,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.047073,17.1,138.68,3.4
Regular,FDV16,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0834,7.75,34.56,3.4
Low Fat,NCB19,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.090279,6.525,86.79,3.4
Low Fat,FDD11,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.075184,12.85,254.7,3.4
Low Fat,NCR29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.054631,7.565,57.39,3.4
Low Fat,NCM54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.050929,17.7,129.17,3.4
Low Fat,DRB24,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020573,8.785,156.47,3.4
Low Fat,DRE49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.069264,20.75,153.0,3.4
Regular,FDC16,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020566,11.5,86.05,3.4
Low Fat,FDW47,Breads,2011,OUT010,Tier 3,Medium,Grocery Store,0.077623,15.0,121.84,3.4
Low Fat,DRO47,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.187841,10.195,112.49,3.4
Low Fat,NCK53,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.062903,11.6,100.4,3.4
Low Fat,FDY21,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.070866,15.1,197.21,3.4
Regular,FDS56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.064871,5.785,262.13,3.4
Low Fat,FDX23,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.029667,6.445,94.44,3.4
Low Fat,FDF12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.082359,8.235,147.61,3.4
Low Fat,FDS13,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.124403,6.465,266.19,3.4
Low Fat,FDS20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.053822,8.85,183.83,3.4
Low Fat,FDU08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.027293,10.3,101.2,3.4
Low Fat,NCS17,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.080434,18.6,93.44,3.4
Low Fat,FDW45,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.038979,18.0,148.64,3.4
Low Fat,DRH36,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.069264,16.2,73.47,3.4
Regular,FDP40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.034329,4.555,110.15,3.4
Regular,FDV20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.059752,20.2,129.17,3.4
Regular,FDB57,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.018789,20.25,222.08,3.4
Regular,FDX31,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.014813,20.35,235.0,3.4
Low Fat,FDO40,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032761,17.1,148.84,3.4
Low Fat,FDZ52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.100482,19.2,111.89,3.4
Low Fat,FDX20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042734,7.365,226.97,3.4
Regular,FDF29,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.020015,15.1,128.83,3.4
Regular,FDQ07,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.087763,15.1,221.55,3.4
Low Fat,FDX45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.105283,16.75,156.96,3.4
Low Fat,FDP60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.055648,17.35,100.3,3.4
Low Fat,NCI43,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.025843,19.85,48.64,3.4
Low Fat,FDG31,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.037713,12.15,64.48,3.4
Regular,FDW38,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.138008,5.325,54.83,3.4
Regular,FDP36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.074331,10.395,51.4,3.3
Low Fat,NCD06,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.099887,13.0,45.91,3.3
Low Fat,DRE60,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.278974,9.395,225.37,3.3
Low Fat,NCO26,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.076841,7.235,117.55,3.3
Low Fat,FDF20,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033288,12.85,198.48,3.3
Low Fat,FDT59,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015908,13.65,231.17,3.3
Low Fat,NCR41,Health and Hygiene,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.018061,17.85,97.01,3.3
Regular,FDF53,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.083591,20.75,182.23,3.3
Low Fat,DRF15,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.033349,18.35,155.03,3.3
Low Fat,NCL53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036235,7.5,175.3,3.3
Low Fat,DRE12,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.070438,4.59,112.89,3.3
Low Fat,FDS51,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.032231,13.35,61.42,3.3
Low Fat,FDX59,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.051411,10.195,33.06,3.3
Low Fat,FDC26,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.12658,10.195,112.29,3.3
Low Fat,FDI44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100389,16.1,76.03,3.3
Low Fat,NCQ53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.018935,17.6,237.76,3.3
Regular,FDN25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.061271,7.895,56.76,3.3
Regular,FDZ08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.110163,12.5,83.66,3.3
Regular,FDG33,Seafood,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.140458,5.365,169.78,3.3
Regular,FDU46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011144,10.3,88.25,3.3
Regular,FDC59,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075184,16.7,63.62,3.3
Regular,FDZ07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.094037,15.1,62.32,3.3
Low Fat,FDU38,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.144534,10.8,190.65,3.3
Low Fat,NCN41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.091412,17.0,121.37,3.3
Low Fat,NCX05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.169943,15.2,116.25,3.3
Low Fat,DRJ24,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.198425,11.8,185.29,3.3
Regular,FDU33,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.235859,7.63,46.14,3.3
Low Fat,FDT48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.045955,4.92,199.11,3.3
Low Fat,FDG24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.014631,7.975,84.52,3.3
Low Fat,FDY50,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.130956,5.8,90.32,3.3
Low Fat,FDP26,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.139553,7.785,105.63,3.3
Low Fat,FDA14,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.065183,16.1,148.08,3.3
Low Fat,NCV29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022844,11.8,177.87,3.3
Low Fat,FDW34,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035579,9.6,244.42,3.3
Low Fat,DRD25,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.069264,6.135,114.29,3.3
Regular,FDL48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.082266,19.35,48.8,3.3
Regular,FDJ38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.040206,8.6,188.75,3.3
Regular,FDF39,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019511,14.85,262.59,3.3
Regular,FDA27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.030928,20.35,256.87,3.3
Regular,FDE41,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.064014,9.195,83.36,3.3
Regular,FDS04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.146663,10.195,138.68,3.3
Regular,FDP44,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.079714,16.5,101.33,3.3
Low Fat,FDR23,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.081953,15.85,176.24,3.3
Low Fat,FDD51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.076701,11.15,44.77,3.3
Low Fat,DRN11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.163311,7.85,143.54,3.3
Low Fat,NCO29,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.032322,11.15,165.65,3.3
Low Fat,NCZ41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.064552,19.85,125.27,3.3
Low Fat,NCW54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.096609,7.5,56.96,3.3
Low Fat,DRE15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.076701,13.35,75.7,3.3
Low Fat,DRD27,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.023975,18.75,99.0,3.3
Low Fat,FDM40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.069804,10.195,143.12,3.3
Low Fat,FDL20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.129141,17.1,109.49,3.3
Low Fat,FDB32,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.023586,20.6,94.78,3.3
Low Fat,NCP53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.033076,14.75,237.29,3.3
Low Fat,NCX17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.114246,21.25,231.23,3.3
Low Fat,NCZ18,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.064963,7.825,253.47,3.3
Low Fat,NCD55,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.024469,14.0,41.15,3.3
Low Fat,FDD34,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.015966,7.945,163.52,3.3
Low Fat,FDS57,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.070866,15.5,141.55,3.3
Low Fat,FDI33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.02858,16.5,90.31,3.3
Low Fat,FDY45,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.02629,17.5,253.74,3.3
Low Fat,FDR21,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.067314,19.7,175.14,3.3
Low Fat,FDH10,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.049584,21.0,193.85,3.3
Regular,FDQ47,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,0.168527,7.155,33.69,3.3
Regular,FDQ55,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.013065,13.65,115.58,3.3
Regular,FDP08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.112638,20.5,195.55,3.3
Regular,FDD10,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.046114,20.6,178.23,3.3
Regular,FDO52,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.077601,11.6,171.01,3.3
Regular,FDZ28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.051784,20.0,125.87,3.3
Low Fat,NCE06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.091468,5.825,159.79,3.3
Low Fat,NCN26,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.028674,10.85,115.18,3.3
Low Fat,DRG36,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09536,14.15,172.31,3.3
Low Fat,FDX23,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.029686,6.445,96.44,3.3
Low Fat,FDZ56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025732,16.25,166.45,3.3
Low Fat,FDL20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12839,17.1,111.99,3.3
Low Fat,NCU54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.098604,8.88,210.73,3.3
Low Fat,NCO18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.024647,13.15,177.47,3.3
Low Fat,NCI42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.010364,18.75,207.2,3.3
Low Fat,FDD34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015873,7.945,161.32,3.3
Regular,FDL48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.082251,19.35,48.7,3.3
Regular,FDR44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.102901,6.11,128.5,3.3
Low Fat,NCE06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.153128,5.825,162.49,3.3
Low Fat,FDD36,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.035608,13.3,119.91,3.3
Low Fat,NCY18,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.052141,7.285,174.91,3.3
Low Fat,FDG31,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.063431,12.15,65.48,3.3
Low Fat,FDT46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.051565,11.35,49.0,3.3
Low Fat,DRC25,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.075943,5.73,85.59,3.3
Low Fat,DRI25,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.056744,19.6,55.66,3.3
Low Fat,FDI44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.100149,16.1,78.43,3.3
Low Fat,FDA36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.005662,5.985,186.59,3.3
Low Fat,FDS47,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.128778,16.75,89.19,3.3
Low Fat,FDJ41,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.022864,6.85,260.06,3.3
Low Fat,FDN15,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.01672,17.5,139.92,3.3
Low Fat,NCL31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.120181,7.39,141.45,3.3
Low Fat,NCN07,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.033916,18.5,130.93,3.3
Low Fat,FDL22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.03636,16.85,90.75,3.3
Regular,FDX27,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.114022,20.7,92.94,3.3
Regular,FDE28,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.069804,9.5,231.37,3.3
Regular,FDB56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.074565,8.75,186.86,3.3
Regular,FDM27,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.158337,12.35,157.99,3.3
Low Fat,FDQ21,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.019407,21.25,119.38,3.3
Regular,FDU21,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.076657,11.8,32.36,3.3
Low Fat,FDP23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.035732,6.71,218.32,3.3
Low Fat,FDJ16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.115354,9.195,58.92,3.3
Low Fat,NCF31,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.052059,9.13,150.6,3.3
Low Fat,NCB55,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.161317,15.7,57.56,3.3
Low Fat,FDB10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067482,10.0,234.86,3.3
Low Fat,FDY10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.049268,17.6,113.02,3.3
Regular,FDZ25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02773,15.7,169.38,3.3
Regular,FDH53,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.019278,20.5,82.86,3.3
Regular,FDO45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038107,13.15,86.39,3.3
Regular,FDC34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.173463,16.0,157.7,3.3
Regular,FDC59,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.054851,16.7,64.42,3.3
Low Fat,DRI03,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.076701,6.03,175.3,3.3
Low Fat,FDZ40,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.039988,8.935,55.73,3.3
Low Fat,NCZ17,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.079047,12.15,39.85,3.3
Low Fat,NCZ53,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.024359,9.6,190.42,3.3
Regular,FDI50,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.030693,8.42,228.04,3.3
Regular,FDZ26,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.14332,11.6,237.52,3.3
Regular,FDT27,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.06925,11.395,232.96,3.3
Regular,FDW15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.054847,15.35,147.37,3.3
Low Fat,NCI17,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.143303,8.645,96.34,3.2
Low Fat,FDA44,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.053524,19.7,55.39,3.2
Low Fat,NCF42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.167351,17.35,176.07,3.2
Regular,FDX35,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.079844,5.035,226.3,3.2
Low Fat,NCC43,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.093308,7.39,250.91,3.2
Low Fat,FDU25,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026723,12.35,59.22,3.2
Low Fat,NCR18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020519,15.85,42.51,3.2
Low Fat,NCF30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.12644,17.0,125.24,3.2
Low Fat,DRF60,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05215,10.8,239.96,3.2
Regular,FDJ38,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.040268,8.6,191.45,3.2
Regular,FDB29,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.052493,16.7,113.92,3.2
Regular,FDN34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.045835,15.6,168.21,3.2
Regular,FDR22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.018591,19.35,112.95,3.2
Low Fat,FDV32,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.155317,7.785,64.15,3.2
Regular,FDA02,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.052041,14.0,143.18,3.2
Regular,FDS33,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.216108,6.67,86.85,3.2
Low Fat,FDN57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.054234,18.25,142.02,3.2
Regular,FDU15,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026602,13.65,35.15,3.2
Low Fat,FDQ13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.010663,11.1,82.39,3.2
